,cust_no,age_level,exp_code,source_code,0,1,2,5,9,A,trans_type,c0,c1,c2,c3,c4,c5,c6,current_c,H,O,R,company_type,avg_stock,current_stock,avg_amount,current_amount,label
2641,0xDE6960CB80FB9540AF78CA8D48DC74CA4CB76DF8752BF339B03BE8E92934B0C3,3,4,2,44,0,0,0,0,0,0,21,1,2,0,3,0,17,0,40,4,0,H,1294.75,1000,45610.3806818182,22400,0
2642,0xED10172E97A3F60C29895136BB53AF35F57D04BDCB440C114E636F7B116F6A30,2,0,2,28,0,0,0,0,0,0,12,6,3,0,0,2,5,5,23,3,2,O,1156.07142857143,1000,45812.6785714286,55200,0
2643,0x4410B8674D81E8487B8A047AA8C13C418B67080C47AE5AF1CDF9D74925069C49,2,3,2,23,0,0,0,0,0,0,15,0,0,0,3,0,5,0,22,1,0,H,3391.30434782609,1000,49826.5217391304,38050,0
2644,0xF236FDF3062CF3D58B9C034F7079EC643DF093D75AA13F3BE68E6C4588F48CF3,3,2,2,36,0,0,0,0,8,0,14,4,2,2,7,6,9,6,40,4,0,H,3495.56818181818,1000,68366.6590909091,15330,0
2645,0x271E670BAB0CC80D6FB1E32A316503EC46A7976B77318CAFFCDDD1B70FD85E0D,4,3,2,308,0,0,0,0,32,0,244,39,1,9,41,2,4,0,285,53,2,H,1058.82352941176,1000,51673.6470588235,85400,0
2646,0x66A2CB5720835E612F09653CF5244E339523476485F2286C598A391F1549CB7D,3,4,2,19,0,0,0,0,0,0,12,4,1,2,0,0,0,1,10,9,0,H,1736.84210526316,2000,130725.263157895,25300,0
2647,0x1310E9391FB2EB60463C422EAC66927ABB60AEB3D58A9D9C5E3A795EA3D6EDC5,2,3,2,17,0,0,0,0,0,0,1,1,7,0,0,0,8,2,17,0,0,H,1411.76470588235,1000,30316.4705882353,8600,0
2648,0xEB25ADE7FC1796499E2F4490AD56F61939B3067A25B46D7CF55EC7F920A47A4D,2,0,2,185,0,2,0,0,68,0,197,29,2,12,9,2,4,3,205,50,0,H,1400,1000,50333.5294117647,123600,0
2649,0xC6442B2086EA8C21712A2D16730A48308E6213931DFDFFC058BB95DBD9CEEA78,3,3,2,54,0,0,0,0,0,0,41,11,1,0,1,0,0,0,50,4,0,H,987.037037037037,1000,41605.1851851852,32000,0
2650,0x8C85B1C39CB640A4B0677190C0E370CA3278D0B2349FD9F14312A2E7CAEED38F,3,0,2,10,0,0,0,0,0,0,6,0,2,0,2,0,0,0,6,4,0,H,1000,1000,30070,47900,0
2651,0x7952198238B0B798C5D725F72E292508FDFE08E7480A8562005CE90F26878B61,3,3,2,85,0,0,0,0,0,0,58,7,3,0,4,0,13,0,65,13,7,H,800.823529411765,300,57806.6823529412,33870,0
2652,0xF376EF8499DB6487FA771C0935372BD5288318D80212D96B4D8898F40AFAF147,2,0,2,29,0,0,0,0,0,0,17,4,0,0,0,4,4,5,29,0,0,H,1037.93103448276,1000,49335.8620689655,119800,0
2653,0xF81F14795564F4D4125E642C9579CB35B585942B86B4D8D72BC1C7B3EBF131B7,4,3,2,30,0,0,0,0,0,0,16,3,4,0,2,0,5,0,30,0,0,H,2233.33333333333,2000,64080.3333333333,85100,0
2654,0x364E465613A15E10D80093DD8AC100C65A3C5C1779F758717403524AA7C21A36,2,1,2,10,0,0,0,0,0,0,0,3,2,0,0,0,5,1,10,0,0,H,1500,1000,31325,38750,0
2655,0x1106CD0E6809216A0E61553EC4F1112EBDDA53D0A37B2028CBC69B17B374639E,3,3,2,10,29,0,0,4,4,1,39,0,0,0,8,0,0,0,45,2,0,H,7022.12765957447,1000,347278.255319149,43500,0
2656,0x0E7111438C9C7DEE61DB232CCF2F453668E02C04EC5A9316361179DD3AB96BEC,2,0,2,26,0,0,0,0,0,0,8,5,4,0,3,0,6,0,26,0,0,H,697.384615384615,100,16151.5969230769,7900,0
